Safe,IP,Times,Request_method,Request_resource,Request_protocol,Status,Bytes,URL,Label
0,125.88.223.58,30/Apr/2018:00:09:56,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,125.88.223.58,30/Apr/2018:00:09:56,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,111.187.51.130,30/Apr/2018:00:10:12,GET,/favicon.ico,HTTP/1.1,200,318,-,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
0,23.228.74.106,30/Apr/2018:00:36:09,GET,/,HTTP/1.1,302,-,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)
0,23.228.74.106,30/Apr/2018:00:36:13,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)
0,23.228.74.106,30/Apr/2018:00:36:17,GET,/toForgetPassword.do?request_locale=,HTTP/1.1,200,6322,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)
0,80.82.78.50,30/Apr/2018:00:45:26,GET,/cache/global/img/gs.gif,HTTP/1.1,404,969,-,Mozilla
0,101.1.27.185,30/Apr/2018:00:49:46,PROPFIND,/,HTTP/1.1,302,-,-,-
0,101.1.27.185,30/Apr/2018:00:49:46,POST,/wls-wsat/CoordinatorPortType,HTTP/1.1,404,979,-,Mozilla/5.0 (Windows NT 6.1; rv:5.0) Gecko/20100101 Firefox/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/index.php,HTTP/1.1,404,941,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/phpmyadmin/index.php,HTTP/1.1,404,963,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/phpMyAdmin/index.php,HTTP/1.1,404,963,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/pmd/index.php,HTTP/1.1,404,949,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/pma/index.php,HTTP/1.1,404,949,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/PMA/index.php,HTTP/1.1,404,949,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/PMA2/index.php,HTTP/1.1,404,951,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/pmamy/index.php,HTTP/1.1,404,953,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/pmamy2/index.php,HTTP/1.1,404,955,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/mysql/index.php,HTTP/1.1,404,953,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/admin/index.php,HTTP/1.1,404,953,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/db/index.php,HTTP/1.1,404,947,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/dbadmin/index.php,HTTP/1.1,404,957,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/web/phpMyAdmin/index.php,HTTP/1.1,404,971,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:01,GET,/admin/pma/index.php,HTTP/1.1,404,961,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/admin/PMA/index.php,HTTP/1.1,404,961,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/admin/mysql/index.php,HTTP/1.1,404,965,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/admin/mysql2/index.php,HTTP/1.1,404,967,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/admin/phpmyadmin/index.php,HTTP/1.1,404,975,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/admin/phpMyAdmin/index.php,HTTP/1.1,404,975,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/admin/phpmyadmin2/index.php,HTTP/1.1,404,977,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/mysqladmin/index.php,HTTP/1.1,404,963,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/mysql-admin/index.php,HTTP/1.1,404,965,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/phpadmin/index.php,HTTP/1.1,404,959,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/phpmyadmin0/index.php,HTTP/1.1,404,965,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/phpmyadmin1/index.php,HTTP/1.1,404,965,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:02,GET,/phpmyadmin2/index.php,HTTP/1.1,404,965,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/myadmin2/index.php,HTTP/1.1,404,959,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/xampp/phpmyadmin/index.php,HTTP/1.1,404,975,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/phpMyadmin_bak/index.php,HTTP/1.1,404,971,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/www/phpMyAdmin/index.php,HTTP/1.1,404,971,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/tools/phpMyAdmin/index.php,HTTP/1.1,404,975,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/phpmyadmin-old/index.php,HTTP/1.1,404,971,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/phpMyAdminold/index.php,HTTP/1.1,404,969,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/pma-old/index.php,HTTP/1.1,404,957,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/claroline/phpMyAdmin/index.php,HTTP/1.1,404,983,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/typo3/phpmyadmin/index.php,HTTP/1.1,404,975,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/phpma/index.php,HTTP/1.1,404,953,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/phpmyadmin/phpmyadmin/index.php,HTTP/1.1,404,985,-,Mozilla/5.0
0,101.1.27.185,30/Apr/2018:00:50:05,GET,/phpMyAdmin/phpMyAdmin/index.php,HTTP/1.1,404,985,-,Mozilla/5.0
0,31.184.193.154,30/Apr/2018:00:54:02,GET,/,HTTP/1.0,302,-,-,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
0,125.88.223.58,30/Apr/2018:01:09:57,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,125.88.223.58,30/Apr/2018:01:09:57,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,31.184.193.154,30/Apr/2018:01:17:48,GET,/,HTTP/1.0,302,-,-,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
0,220.181.108.90,30/Apr/2018:01:26:56,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
0,123.125.71.100,30/Apr/2018:01:26:56,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.31,30/Apr/2018:01:27:08,GET,/javascript/share/md5EncodeAndDecode.js,HTTP/1.1,200,1645,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.85,30/Apr/2018:01:27:08,GET,/javascript/deployJava.js,HTTP/1.1,200,13393,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.45,30/Apr/2018:01:27:08,GET,/javascript/cookieUtil.js,HTTP/1.1,200,459,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.49,30/Apr/2018:01:27:08,GET,/javascript/desktop/TaskBar.js,HTTP/1.1,200,13564,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.15,30/Apr/2018:01:27:08,GET,/javascript/desktop/App.js,HTTP/1.1,200,1328,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.55,30/Apr/2018:01:27:09,GET,/javascript/desktop/Module.js,HTTP/1.1,200,173,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.99,30/Apr/2018:01:27:08,GET,/extjs/ext-base.js,HTTP/1.1,200,35369,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
