Safe,IP,Times,Request_method,Request_resource,Request_protocol,Status,Bytes,URL,Label
0,141.212.122.32,28/Apr/2018:01:02:06,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 zgrab/0.x
0,141.212.122.32,28/Apr/2018:01:02:06,GET,/index.do,HTTP/1.1,200,26312,http://202.127.7.218:8080/,Mozilla/5.0 zgrab/0.x
0,125.88.223.58,28/Apr/2018:01:07:44,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,125.88.223.58,28/Apr/2018:01:07:44,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,220.181.108.139,28/Apr/2018:01:25:48,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
0,220.181.108.121,28/Apr/2018:01:25:48,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.81,28/Apr/2018:01:25:49,GET,/javascript/share/md5EncodeAndDecode.js,HTTP/1.1,200,1645,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.41,28/Apr/2018:01:25:49,GET,/javascript/deployJava.js,HTTP/1.1,200,13393,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.82,28/Apr/2018:01:25:49,GET,/javascript/cookieUtil.js,HTTP/1.1,200,459,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.90,28/Apr/2018:01:25:49,GET,/extjs/ext-base.js,HTTP/1.1,200,35369,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.2,28/Apr/2018:01:25:49,GET,/javascript/desktop/App.js,HTTP/1.1,200,1328,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.31,28/Apr/2018:01:25:49,GET,/javascript/desktop/TaskBar.js,HTTP/1.1,200,13564,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.68,28/Apr/2018:01:25:49,GET,/javascript/desktop/Module.js,HTTP/1.1,200,173,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.43,28/Apr/2018:01:25:49,GET,/tiny_mce/tiny_mce.js,HTTP/1.1,200,197466,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.17,28/Apr/2018:01:25:49,GET,/javascript/desktop/WinMap.js,HTTP/1.1,200,2259,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.7,28/Apr/2018:01:25:49,GET,/javascript/namespace.js,HTTP/1.1,200,599,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.10,28/Apr/2018:01:25:49,GET,/javascript/template.js,HTTP/1.1,200,13544,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.16,28/Apr/2018:01:25:49,GET,/javascript/fileMng/FileMngGlobal.js,HTTP/1.1,200,3630,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.85,28/Apr/2018:01:25:49,GET,/javascript/PluginManager.js,HTTP/1.1,200,7496,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.83,28/Apr/2018:01:25:49,GET,/javascript/fileMng/TxtEditorUtil.js,HTTP/1.1,200,5231,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.117,28/Apr/2018:01:25:49,GET,/javascript/question/QuestionGrid.js,HTTP/1.1,200,2598,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.10,28/Apr/2018:01:25:49,GET,/javascript/question/QuestionWindow.js,HTTP/1.1,200,4382,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.69,28/Apr/2018:01:25:49,GET,/javascript/FilePanel.js,HTTP/1.1,200,51780,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.29,28/Apr/2018:01:25:49,GET,/javascript/question/SccQuestionGrid.js,HTTP/1.1,200,2548,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.89,28/Apr/2018:01:25:49,GET,/javascript/fileMng/FileSupport.js,HTTP/1.1,200,126192,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.28,28/Apr/2018:01:25:49,GET,/javascript/question/SingleQuestion.js,HTTP/1.1,200,16755,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.86,28/Apr/2018:01:25:49,GET,/javascript/question/ApplicationQuestionGrid.js,HTTP/1.1,200,2867,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.43,28/Apr/2018:01:25:49,GET,/javascript/question/AppQuestion.js,HTTP/1.1,200,17691,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.55,28/Apr/2018:01:25:49,GET,/javascript/question/AskWin.js,HTTP/1.1,200,5126,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.102,28/Apr/2018:01:25:49,GET,/javascript/question/FAQGrid.js,HTTP/1.1,200,2195,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.35,28/Apr/2018:01:25:49,GET,/javascript/question/SccQuestion.js,HTTP/1.1,200,17613,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.103,28/Apr/2018:01:25:49,GET,/javascript/question/SingleFAQ.js,HTTP/1.1,200,11210,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
