Safe,IP,Times,Request_method,Request_resource,Request_protocol,Status,Bytes,URL,Label
0,125.88.223.58,29/Apr/2018:00:00:46,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,125.88.223.58,29/Apr/2018:00:00:46,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,125.88.223.58,29/Apr/2018:00:23:30,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,125.88.223.58,29/Apr/2018:00:23:30,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,111.61.66.11,29/Apr/2018:00:34:12,null,null,null,400,-,-,-
0,184.174.57.22,29/Apr/2018:00:51:09,GET,/,HTTP/1.1,302,-,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
0,184.174.57.22,29/Apr/2018:00:51:09,GET,/index.do,HTTP/1.1,200,26312,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
0,172.82.166.210,29/Apr/2018:01:01:29,GET,/cache/global/img/gs.gif,HTTP/1.1,404,969,-,Mozilla
0,125.88.223.58,29/Apr/2018:01:23:43,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,125.88.223.58,29/Apr/2018:01:23:43,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,220.181.108.117,29/Apr/2018:01:25:40,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
0,220.181.108.109,29/Apr/2018:01:25:40,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.41,29/Apr/2018:01:25:48,GET,/javascript/deployJava.js,HTTP/1.1,200,13393,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.28,29/Apr/2018:01:25:48,GET,/javascript/cookieUtil.js,HTTP/1.1,200,459,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.27,29/Apr/2018:01:25:48,GET,/javascript/share/md5EncodeAndDecode.js,HTTP/1.1,200,1645,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.21,29/Apr/2018:01:25:48,GET,/javascript/desktop/App.js,HTTP/1.1,200,1328,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.120,29/Apr/2018:01:25:48,GET,/javascript/desktop/TaskBar.js,HTTP/1.1,200,13564,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.53,29/Apr/2018:01:25:48,GET,/javascript/desktop/Module.js,HTTP/1.1,200,173,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.45,29/Apr/2018:01:25:48,GET,/extjs/ext-base.js,HTTP/1.1,200,35369,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.26,29/Apr/2018:01:25:48,GET,/javascript/namespace.js,HTTP/1.1,200,599,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.86,29/Apr/2018:01:25:48,GET,/javascript/desktop/WinMap.js,HTTP/1.1,200,2259,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.33,29/Apr/2018:01:25:48,GET,/javascript/template.js,HTTP/1.1,200,13544,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.33,29/Apr/2018:01:25:48,GET,/tiny_mce/tiny_mce.js,HTTP/1.1,200,197466,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.36,29/Apr/2018:01:25:48,GET,/javascript/PluginManager.js,HTTP/1.1,200,7496,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.110,29/Apr/2018:01:25:48,GET,/javascript/fileMng/TxtEditorUtil.js,HTTP/1.1,200,5231,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.22,29/Apr/2018:01:25:48,GET,/javascript/fileMng/FileMngGlobal.js,HTTP/1.1,200,3630,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.16,29/Apr/2018:01:25:48,GET,/javascript/question/QuestionWindow.js,HTTP/1.1,200,4382,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.19,29/Apr/2018:01:25:48,GET,/javascript/FilePanel.js,HTTP/1.1,200,51780,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.13,29/Apr/2018:01:25:48,GET,/javascript/question/SccQuestionGrid.js,HTTP/1.1,200,2548,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.116,29/Apr/2018:01:25:48,GET,/javascript/question/QuestionGrid.js,HTTP/1.1,200,2598,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.39,29/Apr/2018:01:25:48,GET,/javascript/fileMng/FileSupport.js,HTTP/1.1,200,126192,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.86,29/Apr/2018:01:25:48,GET,/javascript/question/SingleQuestion.js,HTTP/1.1,200,16755,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
