Safe,IP,Times,Request_method,Request_resource,Request_protocol,Status,Bytes,Url,Label
0,123.245.88.89,28/Apr/2018:09:16:28,GET,/index.do,HTTP/1.1,200,26224,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,27.19.149.147,28/Apr/2018:09:16:27,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,27.19.149.147,28/Apr/2018:09:16:28,GET,/index.do,HTTP/1.1,200,26224,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,113.4.75.252,28/Apr/2018:09:16:27,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,113.4.75.252,28/Apr/2018:09:16:29,GET,/index.do,HTTP/1.1,200,26224,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,124.235.138.101,28/Apr/2018:09:16:27,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,124.235.138.101,28/Apr/2018:09:16:28,GET,/index.do,HTTP/1.1,200,26224,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,116.252.2.201,28/Apr/2018:09:16:27,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,116.252.2.201,28/Apr/2018:09:16:29,GET,/index.do,HTTP/1.1,200,26224,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,175.152.30.136,28/Apr/2018:09:16:29,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,175.152.30.136,28/Apr/2018:09:16:33,GET,/index.do,HTTP/1.1,200,26224,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,27.156.91.143,28/Apr/2018:09:16:30,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,27.156.91.143,28/Apr/2018:09:16:31,GET,/index.do,HTTP/1.1,200,26224,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,178.63.110.18,28/Apr/2018:09:17:06,GET,/.aws/credentials,HTTP/1.0,404,955,-,-
0,123.125.71.53,28/Apr/2018:09:24:54,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
0,123.125.71.111,28/Apr/2018:09:24:54,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.114,28/Apr/2018:09:24:55,GET,/javascript/deployJava.js,HTTP/1.1,200,13393,http://xfinity.net.cn/index.do,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.114,29/Apr/2018:01:25:48,GET,/javascript/question/AskWin.js,HTTP/1.1,200,5126,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.114,30/Apr/2018:09:26:33,GET,/javascript/userMng/UserPanelByEntMnger.js,HTTP/1.1,200,8836,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.30,28/Apr/2018:09:24:55,GET,/extjs/ext-base.js,HTTP/1.1,200,35369,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.30,29/Apr/2018:17:26:05,GET,/javascript/desktop/App.js,HTTP/1.1,200,1328,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.30,30/Apr/2018:09:26:33,GET,/javascript/statisticsMng/JobStatisticsCharts.js,HTTP/1.1,200,27955,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.82,28/Apr/2018:09:24:55,GET,/javascript/desktop/Module.js,HTTP/1.1,200,173,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.82,29/Apr/2018:17:26:05,GET,/extjs/ext-all-debug.js,HTTP/1.1,200,520667,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.82,29/Apr/2018:17:26:06,GET,/javascript/cmdMng/CmdPanel.js,HTTP/1.1,200,3272,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.82,30/Apr/2018:01:27:08,GET,/javascript/question/AppQuestion.js,HTTP/1.1,200,17691,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.82,30/Apr/2018:01:27:09,GET,/javascript/license/softwareLicense.js,HTTP/1.1,200,4938,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.21,28/Apr/2018:09:24:55,GET,/javascript/desktop/WinMap.js,HTTP/1.1,200,2259,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.21,28/Apr/2018:17:25:34,GET,/javascript/statisticsMng/gridToExcel.js,HTTP/1.1,200,6162,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.21,29/Apr/2018:01:25:49,GET,/javascript/userMng/PersonalInfoPanel.js,HTTP/1.1,200,5947,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.21,29/Apr/2018:01:25:48,GET,/javascript/projectMng/ProjectMngerHoldProjectPanel.js,HTTP/1.1,200,5763,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.21,29/Apr/2018:09:25:06,GET,/javascript/license/softwareLicense.js,HTTP/1.1,200,4938,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.21,30/Apr/2018:17:25:25,GET,/javascript/systemSettings/systemSettings.js,HTTP/1.1,200,4081,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
